date,US,Germany,UK,Canada,Australia
12/21/18,2416.62,10633.80,6721.17,13935.40,5467.64
12/20/18,2467.42,10611.10,6711.93,14141.80,5505.82
12/19/18,2506.96,10766.20,6765.94,14264.10,5580.60
12/18/18,2546.16,10740.90,6701.59,14416.90,5589.47
12/17/18,2545.94,10772.20,6773.24,14362.70,5658.27
12/14/18,2599.95,10865.80,6845.17,14595.10,5601.98
12/13/18,2650.54,10924.70,6877.50,14750.40,5661.61
12/12/18,2651.07,10929.40,6880.19,14783.10,5653.50
12/11/18,2636.78,10780.50,6806.94,14667.80,5575.88
12/10/18,2637.72,10622.10,6721.54,14728.30,5552.50
12/07/18,2633.08,10788.10,6778.11,14795.10,5681.49
12/06/18,2695.95,10811.00,6704.05,14937.00,5657.65
12/05/18,2700.06,11200.20,6921.84,15182.60,5668.35
12/04/18,2700.06,11335.30,7022.76,15063.60,5713.14
12/03/18,2790.37,11465.50,7062.41,15275.00,5771.16
11/30/18,2760.17,11257.20,6980.24,15197.80,5667.16
11/29/18,2737.76,11298.20,7038.95,15194.00,5758.42
11/28/18,2743.79,11298.90,7004.52,15171.30,5725.08
11/27/18,2682.17,11309.10,7016.85,14944.10,5728.28
11/26/18,2673.45,11354.70,7036.00,15012.70,5671.57
11/23/18,2632.56,11192.70,6952.86,15010.70,5716.20
11/21/18,2649.93,11244.20,7050.23,15095.00,5642.77
11/20/18,2641.89,11066.40,6947.92,14877.00,5671.79
11/19/18,2690.73,11244.50,7000.89,15071.00,5693.66
11/16/18,2736.27,11341.00,7013.88,15155.50,5730.55
11/15/18,2730.20,11353.70,7038.01,15144.90,5736.02
11/14/18,2701.58,11412.50,7033.79,15133.10,5732.77
11/13/18,2722.18,11472.20,7053.76,15131.80,5834.23
11/09/18,2781.01,11529.20,7105.34,15274.40,5921.85
11/08/18,2806.83,11527.30,7140.68,15357.50,5928.24
11/07/18,2813.89,11579.10,7117.28,15369.40,5896.87
11/06/18,2755.45,11484.30,7040.68,15292.70,5875.18
11/05/18,2738.31,11495.00,7103.84,15217.70,5818.14
11/02/18,2723.06,11519.00,7094.12,15119.30,5849.21
11/01/18,2740.37,11468.50,7114.66,15150.20,5840.80
10/31/18,2711.74,11447.50,7128.10,15027.30,5830.31
10/30/18,2682.63,11287.40,7035.85,14894.50,5805.10
10/29/18,2641.25,11335.50,7026.32,14721.80,5728.15
10/26/18,2658.69,11200.60,6939.56,14888.30,5665.16
10/25/18,2705.57,11307.10,7004.10,14924.10,5664.07
10/24/18,2656.10,11191.60,6962.98,14909.10,5829.02
10/23/18,2740.69,11274.30,6955.21,15285.20,5843.09
10/22/18,2755.88,11524.30,7042.80,15412.70,5904.94
10/19/18,2767.78,11553.80,7049.80,15470.10,5939.49
10/18/18,2768.78,11589.20,7026.99,15404.10,5942.41
10/17/18,2809.21,11715.00,7054.60,15529.90,5939.10
10/16/18,2809.92,11776.50,7059.40,15579.70,5869.88
10/15/18,2750.79,11614.20,7029.22,15409.50,5837.10
10/12/18,2767.13,11523.80,6995.91,15414.30,5895.67
10/11/18,2728.37,11539.40,7006.93,15317.10,5883.76
10/10/18,2785.68,11712.50,7145.74,15517.40,6049.81
10/09/18,2880.34,11977.20,7237.59,15854.00,6041.07
10/05/18,2885.57,12111.90,7318.54,15946.20,6185.49
10/04/18,2901.61,12244.10,7418.34,16006.70,6176.30
10/03/18,2925.51,12287.60,7510.28,16072.00,6146.07
10/02/18,2923.43,12287.60,7474.55,16017.20,6126.21
10/01/18,2924.59,12339.00,7495.67,16104.40,6172.26
09/28/18,2913.98,12246.70,7510.20,16073.10,6207.56
09/27/18,2914.00,12435.60,7545.44,16204.60,6181.22
09/26/18,2905.97,12385.90,7511.49,16169.30,6192.28
09/25/18,2915.56,12374.70,7507.56,16159.50,6185.88
09/24/18,2919.37,12350.80,7458.41,16207.30,6186.87
09/21/18,2929.67,12430.90,7490.23,16224.10,6194.56
09/20/18,2930.75,12326.50,7367.32,16214.80,6169.50
09/19/18,2907.95,12219.00,7331.12,16149.90,6189.96
09/18/18,2904.31,12157.70,7300.23,16196.00,6161.45
09/17/18,2888.80,12096.40,7302.10,16082.30,6184.97
09/14/18,2904.98,12124.30,7304.04,16013.50,6165.33
09/13/18,2904.18,12055.50,7281.57,16001.70,6128.72
09/12/18,2888.92,12032.30,7313.36,16049.00,6175.92
09/11/18,2887.89,11970.30,7273.54,16094.30,6179.68
09/10/18,2877.13,11986.30,7279.30,16057.10,6141.70
09/07/18,2871.68,11959.60,7277.70,16090.30,6143.81
09/06/18,2878.05,11955.30,7318.96,16100.90,6160.42
09/05/18,2888.60,12040.50,7383.28,16137.60,6230.45
09/04/18,2896.72,12210.20,7457.86,16161.30,6293.07
08/31/18,2901.52,12364.10,7432.42,16262.90,6319.50
08/30/18,2901.13,12494.20,7516.03,16371.50,6351.76
08/29/18,2914.04,12561.70,7563.21,16390.30,6352.24
08/28/18,2897.52,12527.40,7617.22,16355.50,6304.65
08/27/18,2896.74,12538.30,7577.49,16444.40,6268.87
08/24/18,2874.69,12394.50,7577.49,16356.00,6247.33
08/23/18,2856.98,12365.60,7563.22,16326.80,6244.37
08/22/18,2861.82,12385.70,7574.24,16347.30,6265.98
08/21/18,2862.96,12384.50,7565.70,16297.00,6284.38
08/20/18,2857.05,12331.30,7591.26,16331.00,6344.99
08/17/18,2850.13,12210.50,7558.59,16323.70,6339.23
08/16/18,2840.69,12237.20,7556.38,16225.70,6328.29
08/15/18,2818.37,12163.00,7497.87,16148.50,6329.02
08/14/18,2839.96,12358.90,7611.64,16330.70,6299.64
08/13/18,2821.93,12358.70,7642.45,16250.80,6252.17
08/10/18,2833.28,12424.40,7667.01,16326.50,6278.39
08/09/18,2853.58,12676.10,7741.77,16417.00,6297.65
08/08/18,2857.70,12633.50,7776.65,16315.10,6268.53
08/07/18,2858.45,12648.20,7718.48,16286.30,6253.94
08/06/18,2850.40,12598.20,7663.78,16420.20,6272.98
08/03/18,2840.35,12615.80,7659.10,16420.20,6234.78
08/02/18,2827.22,12546.30,7575.93,16409.20,6240.86
08/01/18,2813.36,12737.00,7652.91,16376.80,6275.72
07/31/18,2816.29,12805.50,7748.76,16434.00,6280.20
07/30/18,2802.60,12798.20,7700.85,16345.50,6278.39
07/27/18,2818.82,12860.40,7701.31,16394.00,6300.23
07/26/18,2837.44,12809.20,7663.17,16455.70,6244.50
